Data,Histórico,Valor,Tipo
2021-02-02,Tarifa Conta Certa Exced 02/2021.,20.36,CONTA ORDINÁRIA
2021-02-03,"Sinvaldo NFs. 245 / 248 / 249 poda arvores, reparo vazamento Apto. 121 Bloco Nelly e desentupimento terreo e G1.",1750.0,MANUTENÇÃO E LIMPEZA
2021-02-04,Remuneração Sindico 01/2021.,1108.38,CONTA ORDINÁRIA
2021-02-04,Condominium NF.3225 cordão/cabo espiral preto.,16.5,MANUTENÇÃO E LIMPEZA
2021-02-04,Bruna NF.3196 materiais de limpeza.,636.28,MANUTENÇÃO E LIMPEZA
2021-02-04,JD_Paisagismo NF.027 manutenção jardim 01/2021.,587.0,MANUTENÇÃO E LIMPEZA
2021-02-05,Honorários serv. prestados pela Campos 01/2021.,1760.0,CONTA ORDINÁRIA
2021-02-05,Emissão de boletos 01/2021.,66.0,CONTA ORDINÁRIA
2021-02-08,Tintas MC NF.2110 materiais para manutenção.,125.0,MANUTENÇÃO E LIMPEZA
2021-02-09,Newton NF.1754 locação de duas caçambas.,585.6,MANUTENÇÃO E LIMPEZA
2021-02-10,Hidrotec NF.5842 leitura da água 01/2021.,553.5,CONTA ORDINÁRIA
2021-02-10,Mundial NF.1618 serv. prestados 01/2021.,36403.69,CONTA ORDINÁRIA
2021-02-10,ISS da NF.1618 serv. prestados Mundial 01/2021.,828.76,CONTA ORDINÁRIA
2021-02-10,Nicom NF.287577 parc.1/3 materiais para manutenção.,4755.04,MANUTENÇÃO E LIMPEZA
2021-02-10,7_Lift NF.508 parc.4/5 elev. social bloco B reparo no motor operador de porta.,320.0,MANUTENÇÃO E LIMPEZA
2021-02-10,Adailson serv. prestados 02/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-02-12,Dra.Luciana assessoria juridica ref. 01/2021.,1104.0,CONTA ORDINÁRIA
2021-02-12,M&M NF.35296 manut. elevadores 01/2021.,1202.32,MANUTENÇÃO E LIMPEZA
2021-02-12,"Sinvaldo NF.250 limpeza calhas, sacadas, dutos de cano, bem como impermeabilização e vedação.",1600.0,MANUTENÇÃO E LIMPEZA
2021-02-15,"M&M NFs. 34422 / 9304 parc. 11/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.33,MANUTENÇÃO E LIMPEZA
2021-02-15,CBE NF.148874 manut. bombas 01/2021.,347.73,MANUTENÇÃO E LIMPEZA
2021-02-16,7_Lift NF.518 parc.4/4 instalação fechador dorma elevador serv. bloco B 10° e 15° andar.,295.0,MANUTENÇÃO E LIMPEZA
2021-02-17,Dra.Luciana honorários pago pelo Apto. 032 Bloco Nelly.,500.0,CONTA ORDINÁRIA
2021-02-17,Net conta 01/2021.,151.47,TARIFAS PÚBLICAS
2021-02-19,INSS da NF.1618 serv. prestados Mundial 01/2021.,2279.12,CONTA ORDINÁRIA
2021-02-19,Cofins/Pis/Csll da NF. 1618 serv. prestados Mundial 01/2021.,1926.89,CONTA ORDINÁRIA
2021-02-19,M&M NF.505 parc.5/5 serviço troca óleo elevadores.,380.0,MANUTENÇÃO E LIMPEZA
2021-02-19,Cofins/Pis/Csll da NF.148874 serv. prestados 01/2021.,16.96,MANUTENÇÃO E LIMPEZA
2021-02-24,Cópias 01/2021.,90.5,CONTA ORDINÁRIA
2021-02-24,Disc Alda NF.2497 materiais para manutenção.,582.2,MANUTENÇÃO E LIMPEZA
2021-02-25,Sabesp conta 01/2021.,6583.7,TARIFAS PÚBLICAS
2021-02-25,Condominium NF.50146 manutenção 01/2021.,736.08,MANUTENÇÃO E LIMPEZA
2021-02-28,Tarifa Custa de Cobrança 02/2021.,325.8,CONTA ORDINÁRIA
2021-02-28,Imposto de Renda 02/2021 ( C/P 88851-9 ),20.16,FUNDO DE RESERVA
2021-02-28,Imposto de Renda 02/2021 ( C/P 88853-5 ),40.81,ALUGUEL COBERTURA
2021-03-01,Enel nº.instalação 0057749680 conta 02/2021.,3006.96,TARIFAS PÚBLICAS
2021-03-01,Enel conta zelador 02/2021.,37.81,TARIFAS PÚBLICAS
2021-03-02,Tarifa Conta Certa 03/2021.,80.68,CONTA ORDINÁRIA
2021-03-02,Tarifa Conta Certa Exced 03/2021.,10.18,CONTA ORDINÁRIA
2021-03-03,Adailson serv. prestados 03/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-03-03,JD_Paisagismo NF.31 manutenção jardim 02/2021.,587.0,MANUTENÇÃO E LIMPEZA
2021-03-04,Remuneração Sindico 02/2021.,1108.38,CONTA ORDINÁRIA
2021-03-05,Honorários serv. prestados pela Campos 02/2021 NF.4256.,1760.0,CONTA ORDINÁRIA
2021-03-05,Emissão boletos 02-2021.,66.0,CONTA ORDINÁRIA
2021-03-05,"Honorários pago pelo Apto. NE111 e guia recolhimento,xerox e combustível Apto. AR062.",97.1,CONTA ORDINÁRIA
2021-03-07,Nicom NF.287577 parc.2/3 materiais para manutenção.,4755.04,MANUTENÇÃO E LIMPEZA
2021-03-07,Kamel NF.3581 parc.1/2 materiais de elétrica.,1249.43,MANUTENÇÃO E LIMPEZA
2021-03-08,Bruna NF.3319 materiais de limpeza.,765.37,MANUTENÇÃO E LIMPEZA
2021-03-09,Dra.Luciana assessoria juridica ref. 02/2021.,1104.0,CONTA ORDINÁRIA
2021-03-09,Dra.Luciana honorários pago pelo Apto. AR141 parc.1/4.,134.76,CONTA ORDINÁRIA
2021-03-09,"Sinvaldo NFs. 252/253/254 e CFs.8513/175 ( 15,00 e 65,00) diversos serviços conforme notas.",1960.0,MANUTENÇÃO E LIMPEZA
2021-03-10,Hidrotec NF.6097 leitura da água 02/2021.,553.5,CONTA ORDINÁRIA
2021-03-10,Sindicato dos Empregados 02/2021.,185.0,CONTA ORDINÁRIA
2021-03-10,Mundial NF.1622 serv. prestados 02/2021.,36674.32,CONTA ORDINÁRIA
2021-03-10,ISS da NF.1622 serv. prestados Mundial 02/2021.,834.93,CONTA ORDINÁRIA
2021-03-10,7_Lift NF.508 parc.5/5 elev. social bloco B reparo no motor operador de porta.,320.0,MANUTENÇÃO E LIMPEZA
2021-03-10,ISS da NF.1754 serv. prestados Newtom 02/2021.,14.4,MANUTENÇÃO E LIMPEZA
2021-03-12,M&M NF.35374 manut. elevadores 02/2021.,1202.32,MANUTENÇÃO E LIMPEZA
2021-03-15,Net conta 02/2021.,152.13,TARIFAS PÚBLICAS
2021-03-15,"M&M NFs. 34422 / 9304 parc. 12/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.33,MANUTENÇÃO E LIMPEZA
2021-03-15,CBE NF.154410 manut. bombas 02/2021.,347.73,MANUTENÇÃO E LIMPEZA
2021-03-17,Vento Tec NF.22381 ventiladores 02 bebedouros.,1444.0,MANUTENÇÃO E LIMPEZA
2021-03-19,Cofins/Pis/Csll da NF.1622 serv. prestados Mundial 02/2021.,1941.21,CONTA ORDINÁRIA
2021-03-19,Cofins/Pis/Csll da NF.154410 serv. prestados 02/2021.,16.96,MANUTENÇÃO E LIMPEZA
2021-03-20,INSS da NF.1622 serv. prestados Mundial 02/2021.,2296.06,CONTA ORDINÁRIA
2021-03-23,Encadernação NFs.29405/29266 e cópias 02/2021,82.25,CONTA ORDINÁRIA
2021-03-24,Sinvaldo NF.255 serv. prestados condomínio e CF.8709 materiais para manutenção do condominio.,721.5,MANUTENÇÃO E LIMPEZA
2021-03-25,Sabesp conta 02/2021.,6958.24,TARIFAS PÚBLICAS
2021-03-25,Condominium NF.50510 manutenção 02/2021.,736.08,MANUTENÇÃO E LIMPEZA
2021-03-29,Enel conta zelador 03/2021.,44.15,TARIFAS PÚBLICAS
2021-03-29,Enel nº.instalação 0057749680 conta 03/2021.,3115.75,TARIFAS PÚBLICAS
2021-03-30,Bruna NF.3429 materiais de limpeza.,632.59,MANUTENÇÃO E LIMPEZA
2021-03-31,Tarifa Custa de Cobrança 03/2021.,399.72,CONTA ORDINÁRIA
2021-03-31,Imposto de Renda 03/2021 ( C/P 88851-9 ),23.22,FUNDO DE RESERVA
2021-03-31,Imposto de Renda 03/2021 ( C/P 88853-5 ),41.24,ALUGUEL COBERTURA
2021-04-05,Honorários serv. prestados pela Campos 03/2021 NF.4291.,1760.0,CONTA ORDINÁRIA
2021-04-05,Emissão boletos 03/2021.,66.0,CONTA ORDINÁRIA
2021-04-05,Remuneração Sindico 03/2021.,1108.38,CONTA ORDINÁRIA
2021-04-05,Tarifa Conta Certa 04/2021.,80.68,CONTA ORDINÁRIA
2021-04-05,Tarifa Conta Certa Exced 04/2021.,10.18,CONTA ORDINÁRIA
2021-04-05,INSS da NF.1629 serv. prestados Mundial 03/2021.,2286.17,CONTA ORDINÁRIA
2021-04-05,Adailson serv. prestados 03/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-04-05,JD_Paisagismo NF.34 manutenção jardim 03/2021.,587.0,MANUTENÇÃO E LIMPEZA
2021-04-06,Nicom NF.287577 parc.3/3 materiais de construção.,4755.03,MANUTENÇÃO E LIMPEZA
2021-04-07,Kamel NF.3581 parc.2/2 materiais de elétrica.,1249.43,MANUTENÇÃO E LIMPEZA
2021-04-10,Hidrotec NF.6335 leitura da água 03/2021.,553.5,CONTA ORDINÁRIA
2021-04-10,Mundial NF.1629 serv. prestados 03/2021.,36516.34,CONTA ORDINÁRIA
2021-04-10,ISS da NF.1629 serv. prestados Mundial 03/2021.,831.33,CONTA ORDINÁRIA
2021-04-12,Dra.Luciana assessoria juridica ref. 03/2021.,1104.0,CONTA ORDINÁRIA
2021-04-12,Dra.Luciana honorários pago pelo Apto.141 Aristheia parc.2/4.,134.76,CONTA ORDINÁRIA
2021-04-12,M&M NF.35460 manut. elevadores 03/2021.,1202.32,MANUTENÇÃO E LIMPEZA
2021-04-12,Mercado Pago Infistec NF.4178 kit 50 tags.,298.0,MANUTENÇÃO E LIMPEZA
2021-04-13,Mercado Pago Galdino NF.7846 15 controles de garagem.,374.9,MANUTENÇÃO E LIMPEZA
2021-04-14,Disc Alda NF. 2524 materiais para manutenção do condominio.,350.1,MANUTENÇÃO E LIMPEZA
2021-04-15,Net conta 03/2021.,151.47,TARIFAS PÚBLICAS
2021-04-15,Yabiku NF. 96897 parc. 01/03 telhas e parafusos.,1765.73,MANUTENÇÃO E LIMPEZA
2021-04-15,"M&M NFs. 34422 / 9304 parc. 13/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.33,MANUTENÇÃO E LIMPEZA
2021-04-15,7_Lift NF. 598 parc. 1/5 mão de obra instalação de fechador dorma 7 andar Bloco A e troca do cooler nos 3 elevadores.,118.0,MANUTENÇÃO E LIMPEZA
2021-04-15,7_Lift NF. 474 parc. 1/5 ventilador / cooler para os 3 elevadores.,168.0,MANUTENÇÃO E LIMPEZA
2021-04-15,CBE NF.158029 manut. bombas 03/2021.,347.73,MANUTENÇÃO E LIMPEZA
2021-04-20,Cofins/Pis/Csll da NF.1629 serv. prestados Mundial 03/2021.,1932.85,CONTA ORDINÁRIA
2021-04-20,Cofins/Pis/Csll da NF.158029 serv. prestados 03/2021.,16.96,MANUTENÇÃO E LIMPEZA
2021-04-21,MCA NF. 3522 materiais de limpeza.,744.74,MANUTENÇÃO E LIMPEZA
2021-04-25,Sabesp conta 03/2021.,6848.8,TARIFAS PÚBLICAS
2021-04-25,Condominium NF.50863 manutenção equipamentos eletronicos 03/2021.,736.08,MANUTENÇÃO E LIMPEZA
2021-04-26,Encadernação NFs.29537/29531 e cópias 02/2021,105.9,CONTA ORDINÁRIA
2021-04-28,Enel nº.instalação 0057749680 conta 04/2021.,2984.88,TARIFAS PÚBLICAS
2021-04-28,Enel conta zelador 04/2021.,43.73,TARIFAS PÚBLICAS
2021-04-28,Sinvaldo NF. 256 desentupimento ralo térreo e limpeza canos entupidos vaga 112.,380.0,MANUTENÇÃO E LIMPEZA
2021-04-29,Dra.Luciana honorarios pago pelo Apto. 13 Bloco Aristheia,60.07,CONTA ORDINÁRIA
2021-04-29,Dra.Luciana honorarios pago pelo Apto. 94 Bloco Nelly,86.73,CONTA ORDINÁRIA
2021-04-29,Dra.Luciana honorarios parc. 1/2 pago pelo Apto. 91 Bloco Nelly,824.32,CONTA ORDINÁRIA
2021-04-30,Allianz parc. 1/4 Seguro do Condominio,626.7,CONTA ORDINÁRIA
2021-04-30,Tarifa Custa de Cobrança 04/2021.,342.11,CONTA ORDINÁRIA
2021-04-30,Imposto de Renda 04/2021 ( C/P 88851-9 ),23.06,FUNDO DE RESERVA
2021-04-30,Imposto de Renda 04/2021 ( C/P 88853-5 ),43.22,ALUGUEL COBERTURA
2021-05-04,Tarifa Conta Certa 05/2021.,80.68,CONTA ORDINÁRIA
2021-05-04,Adailson serv. prestados 04/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-05-04,JD_Paisagismo NF.40 manutenção jardim 04/2021.,587.0,MANUTENÇÃO E LIMPEZA
2021-05-05,Honorários serv. prestados pela Campos 04/2021 NF.4323.,1760.0,CONTA ORDINÁRIA
2021-05-05,Emissão boletos 04/2021.,66.0,CONTA ORDINÁRIA
2021-05-07,Remuneração Sindico 04/2021.,1108.38,CONTA ORDINÁRIA
2021-05-10,Hidrotec NF.6587 leitura da água 04/2021.,553.5,CONTA ORDINÁRIA
2021-05-10,Sindicato dos Empregados 04/2021.,185.0,CONTA ORDINÁRIA
2021-05-10,Mundial NF.1636 serv. prestados 04/2021.,36403.69,CONTA ORDINÁRIA
2021-05-10,ISS da NF.1636 serv. prestados Mundial 04/2021.,828.76,CONTA ORDINÁRIA
2021-05-11,Dra.Luciana parc. 03/04 honorários pago pelo Apto. 141 Bloco Aristheia.,134.76,CONTA ORDINÁRIA
2021-05-11,Dra.Luciana assessoria jurídica ref. 04/2021.,1104.0,CONTA ORDINÁRIA
2021-05-12,M&M NF.35539 manut. elevadores 04/2021.,1202.32,MANUTENÇÃO E LIMPEZA
2021-05-14,7_Lift NF. 598 parc. 2/5 mão de obra instalação de fechador dorma 7 andar Bloco A e troca do cooler nos 3 elevadores.,118.0,MANUTENÇÃO E LIMPEZA
2021-05-14,7_Lift NF. 474 parc. 2/5 ventilador / cooler para os 3 elevadores.,168.0,MANUTENÇÃO E LIMPEZA
2021-05-15,Yabiku NF. 96897 parc. 02/03 telhas e parafusos.,1765.73,MANUTENÇÃO E LIMPEZA
2021-05-15,CBE NF.161518 manut. bombas 04/2021.,347.73,MANUTENÇÃO E LIMPEZA
2021-05-17,Net conta 04/2021.,145.91,TARIFAS PÚBLICAS
2021-05-17,Comércio de vidros CF. 1671 vidro incolor e massa para vidro.,55.0,MANUTENÇÃO E LIMPEZA
2021-05-17,"M&M NFs. 34422 / 9304 parc. 14/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.33,MANUTENÇÃO E LIMPEZA
2021-05-19,Encadernação NF.29743 e cópias 04/2021.,87.0,CONTA ORDINÁRIA
2021-05-20,INSS da NF.1636 serv. prestados Mundial 04/2021.,2279.12,CONTA ORDINÁRIA
2021-05-20,Cofins/Pis/Csll da NF.1636 serv. prestados Mundial 04/2021.,1926.89,CONTA ORDINÁRIA
2021-05-20,Cofins/Pis/Csll da NF.161518 serv. prestados CBE 04/2021.,16.96,MANUTENÇÃO E LIMPEZA
2021-05-21,Sinvaldo NF. 257 colocação de vidro porta lateral do terreo saída de emergencia Bloco Nelly.,120.0,MANUTENÇÃO E LIMPEZA
2021-05-21,MCA NF. 3620 materiais de limpeza.,705.28,MANUTENÇÃO E LIMPEZA
2021-05-25,Sabesp conta 04/2021.,6916.89,TARIFAS PÚBLICAS
2021-05-25,Condominium NF.51216 manutenção equipamentos eletronicos 04/2021.,736.08,MANUTENÇÃO E LIMPEZA
2021-05-27,Dra.Luciana honorários parc. 2/2 pago pelo Apto. 91 Bloco Nelly.,824.32,CONTA ORDINÁRIA
2021-05-27,Dra.Luciana honorários pago pelo Apto. 111 Bloco Nelly.,111.99,CONTA ORDINÁRIA
2021-05-27,Dra.Luciana honorários pago pelo Apto. 111 Bloco Aristheia.,55.0,CONTA ORDINÁRIA
2021-05-28,Enel nº.instalação 0057749680 conta 05/2021.,3132.27,TARIFAS PÚBLICAS
2021-05-28,Enel conta zelador 05/2021.,38.77,TARIFAS PÚBLICAS
2021-05-31,Tarifa Custa de Cobrança 05/2021.,365.45,CONTA ORDINÁRIA
2021-05-31,Taxa anual elevadores ano 2021 chapas 194748 / 194749 / 194751 / 194753.,710.08,MANUTENÇÃO E LIMPEZA
2021-05-31,"Empsan NF. 600 parc. 01/02 desratização, desinsetização e limpeza caixas de água.",569.4,MANUTENÇÃO E LIMPEZA
2021-05-31,Imposto de Renda 05/2021 ( C/P 88851-9 ),32.01,FUNDO DE RESERVA
2021-05-31,Imposto de Renda 05/2021 ( C/P 88853-5 ),57.82,ALUGUEL COBERTURA
2021-06-02,Dra.Luciana reembolso custas processuais Apto. 122 Bloco Aristheia.,257.47,CONTA ORDINÁRIA
2021-06-02,Tarifa Conta Certa 06/2021.,80.68,CONTA ORDINÁRIA
2021-06-02,Tarifa Conta Certa Exced 06/2021.,10.18,CONTA ORDINÁRIA
2021-06-04,Remuneração Sindico 05/2021.,1108.38,CONTA ORDINÁRIA
2021-06-04,JD_Paisagismo NF.50 manutenção jardim 05/2021.,587.0,MANUTENÇÃO E LIMPEZA
2021-06-05,Honorários serv. prestados pela Campos 05/2021 NF.4355.,1760.0,CONTA ORDINÁRIA
2021-06-05,Emissão boletos 05/2021.,66.0,CONTA ORDINÁRIA
2021-06-08,Adailson serv. prestados 05/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-06-10,Hidrotec NF.6814 leitura da água 05/2021.,553.5,CONTA ORDINÁRIA
2021-06-10,Dra.Luciana assessoria juridica ref. 05/2021.,1104.0,CONTA ORDINÁRIA
2021-06-10,Allianz parc. 2/4 seguro do condomínio.,626.7,CONTA ORDINÁRIA
2021-06-10,Mundial NF.1643 serv. prestados 05/2021.,36524.37,CONTA ORDINÁRIA
2021-06-10,ISS da NF.1643 serv. prestados Mundial 05/2021.,831.51,CONTA ORDINÁRIA
2021-06-11,Impacto NF. 1 materiais de limpeza.,1126.95,MANUTENÇÃO E LIMPEZA
2021-06-12,M&M NF.35618 manut. elevadores 05/2021.,1202.32,MANUTENÇÃO E LIMPEZA
2021-06-15,Net conta 05/2021.,145.91,TARIFAS PÚBLICAS
2021-06-15,Yabiku NF. 96897 parc. 03/03 telhas e parafusos.,1765.74,MANUTENÇÃO E LIMPEZA
2021-06-15,7_Lift NF. 598 parc. 3/5 mão de obra instalação de fechador dorma 7º andar Bloco A e troca do cooler nos 3 elevadores.,118.0,MANUTENÇÃO E LIMPEZA
2021-06-15,7_Lift NF. 474 parc. 3/5 ventilador/cooler para os 3 elevadores.,168.0,MANUTENÇÃO E LIMPEZA
2021-06-15,CBE NF.164217 manut. bombas 05/2021.,347.73,MANUTENÇÃO E LIMPEZA
2021-06-16,INSS da NF.1643 serv. prestados Mundial 05/2021.,2286.67,CONTA ORDINÁRIA
2021-06-16,INSS da NF. 600 serviços prestados Empsan 05/2021.,160.6,MANUTENÇÃO E LIMPEZA
2021-06-18,Cofins/Pis/Csll da NF.1643 serv. prestados Mundial 05/2021.,1933.28,CONTA ORDINÁRIA
2021-06-18,Cofins/Pis/Csll da NF.164217 serv. prestados CBE 05/2021.,16.96,MANUTENÇÃO E LIMPEZA
2021-06-18,Cofins/Pis/Csll da NF.34901 serv. prestados Dumont 05/2021.,18.66,MANUTENÇÃO E LIMPEZA
2021-06-22,Dumont NF. 34901 medição ohmica para raios.,381.4,MANUTENÇÃO E LIMPEZA
2021-06-23,Encadernação NF.29890 e cópias 05/2021.,87.25,CONTA ORDINÁRIA
2021-06-23,"M&M NFs. 34422 / 9304 parc. 15/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.33,MANUTENÇÃO E LIMPEZA
2021-06-25,Sabesp conta 05/2021.,7073.09,TARIFAS PÚBLICAS
2021-06-25,Kamel NF. 3631 lâmpadas led.,361.85,MANUTENÇÃO E LIMPEZA
2021-06-25,Condominium NF.51586 manutenção equipamentos eletronicos 05/2021.,736.08,MANUTENÇÃO E LIMPEZA
2021-06-28,Enel conta zelador 06/2021.,45.65,TARIFAS PÚBLICAS
2021-06-28,Enel nº.instalação 0057749680 conta 06/2021.,2147.88,TARIFAS PÚBLICAS
2021-06-30,Dra.Luciana honorários pago pelo Apto. 111 Bloco Nelly.,112.88,CONTA ORDINÁRIA
2021-06-30,Dra.Luciana parc. 04/04 honorários pago pelo Apto. 141 Bloco Aristheia.,134.76,CONTA ORDINÁRIA
2021-06-30,Dra.Luciana honorários pago pelo Apto. 154 Bloco Aristheia.,125.16,CONTA ORDINÁRIA
2021-06-30,Tarifa Custa de Cobrança 06/2021.,379.2,CONTA ORDINÁRIA
2021-06-30,"Empsan NF. 600 parc. 02/02 desratização, desinsetização e limpeza caixas de água.",730.0,MANUTENÇÃO E LIMPEZA
2021-06-30,Imposto de Renda 06/2021 ( C/P 88851-9 ),35.16,FUNDO DE RESERVA
2021-06-30,Imposto de Renda 06/2021 ( C/P 88853-5 ),74.05,ALUGUEL COBERTURA
2021-07-02,Tarifa Conta Certa 07/2021.,80.68,CONTA ORDINÁRIA
2021-07-02,Tarifa Conta Certa Exced 07/2021.,8.98,CONTA ORDINÁRIA
2021-07-04,Remuneração Sindico 06/2021.,1108.38,CONTA ORDINÁRIA
2021-07-04,JD_Paisagismo NF. 67 manutenção jardim 06/2021.,587.0,MANUTENÇÃO E LIMPEZA
2021-07-05,Honorários serv. prestados pela Campos 06/2021 NF.4390.,1760.0,CONTA ORDINÁRIA
2021-07-05,Emissão boletos 06/2021.,66.0,CONTA ORDINÁRIA
2021-07-06,Adailson serv. prestados 06/2021.,200.0,MANUTENÇÃO E LIMPEZA
2021-07-10,Allianz parc. 3/4 seguro do condomínio.,626.7,CONTA ORDINÁRIA
2021-07-10,Mundial NF.1650 serv. prestados 06/2021.,36664.36,CONTA ORDINÁRIA
2021-07-12,ISS da NF.1650 serv. prestados Mundial 06/2021.,834.7,CONTA ORDINÁRIA
2021-07-12,M&M NF.35711 manut. elevadores 06/2021.,1202.32,MANUTENÇÃO E LIMPEZA
2021-07-13,Dra.Luciana assessoria jurídica ref. 06/2021.,1104.0,CONTA ORDINÁRIA
2021-07-15,Hidrotec NF. 7063 leitura da água 06/2021.,553.5,CONTA ORDINÁRIA
2021-07-15,Net conta 06/2021.,145.91,TARIFAS PÚBLICAS
2021-07-15,7_Lift NF. 598 parc. 4/5 mão de obra instalação de fechador dorma 7 andar Bloco A e troca do cooler nos 3 elevadores.,118.0,MANUTENÇÃO E LIMPEZA
2021-07-15,7_Lift NF. 474 parc. 4/5 ventilador / cooler para os 3 elevadores.,168.0,MANUTENÇÃO E LIMPEZA
2021-07-15,"M&M NFs. 34422 / 9304 parc. 16/16 protetor de polias, kit placas, marcação de cabos de aço, equipamentos de segurança em geral dos elevadores.",1333.42,MANUTENÇÃO E LIMPEZA
2021-07-15,CBE NF.167259 manut. bombas 06/2021.,347.73,MANUTENÇÃO E LIMPEZA
2021-07-20,Encadernação NF.30115 e cópias 06/2021.,108.0,CONTA ORDINÁRIA
